id,date,canal,csat,commentaire,texte,sentiment,blocking,blocking_reason,key_journey,theme,low_confidence
SAA-0090,2025-12-16,Web,3,"Impossible de me connecter, ça bloque au login :(.","Impossible de me connecter, ça bloque au login :(.",Négatif,True,"impossible, bloqué/bloque",Connexion,Connexion / Auth,False
SAA-0091,2025-10-11,Téléphone,2,Je n'arrive pas à réinitialiser mon mot de passe !!!.,Je n'arrive pas à réinitialiser mon mot de passe !!!.,Neutre,False,,Connexion,Connexion / Auth,False
SAA-0092,2025-11-08,Chat,3,Trop de clics pour faire une action simple !!!. Je suis bloqué.,Trop de clics pour faire une action simple !!!. Je suis bloqué.,Négatif,True,"bloqué/bloque, je suis bloqué",Autre,UX / Complexité,False
SAA-0093,2025-11-08,App,1,Mon mot de passe est refusé alors qu'il est correct !!!.,Mon mot de passe est refusé alors qu'il est correct !!!.,Négatif,True,échec/refus,Connexion,Paiement,False
SAA-0094,2025-10-26,Chat,1,Erreur 500 quand je sauvegarde rapidement.,Erreur 500 quand je sauvegarde rapidement.,Négatif,True,erreur/bug/crash,Sauvegarder,Produit / Fonctionnalité,False
SAA-0095,2025-12-19,Web,3,L'app plante dès que j'ouvre le module rapports !!!.,L'app plante dès que j'ouvre le module rapports !!!.,Neutre,False,,Autre,Autre,True
SAA-0096,2025-12-17,Web,2,"Impossible d'exporter, ça crash.","Impossible d'exporter, ça crash.",Négatif,True,"impossible, erreur/bug/crash",Exporter,Produit / Fonctionnalité,False
SAA-0097,2025-11-07,Téléphone,4,Erreur 500 quand je sauvegarde !!!.,Erreur 500 quand je sauvegarde !!!.,Négatif,True,erreur/bug/crash,Sauvegarder,Produit / Fonctionnalité,False
SAA-0098,2025-11-20,Téléphone,4,Produit stable et simple à utiliser :(.,Produit stable et simple à utiliser :(.,Neutre,False,,Autre,Autre,True
SAA-0099,2025-10-04,Chat,4,La synchro prend des minutes depuis la mise à jour. J'ai essayé de redémarrer et ça ne change rien.,La synchro prend des minutes depuis la mise à jour. J'ai essayé de redémarrer et ça ne change rien.,Neutre,False,,Synchroniser,Produit / Fonctionnalité,False
SAA-0100,2025-11-22,Chat,4,Problème de renouvellement d’abonnement.,Problème de renouvellement d’abonnement.,Neutre,False,,Autre,Paiement,False
SAA-0101,2025-10-20,Web,3,"Je veux escalader, c’est bloquant svp.","Je veux escalader, c’est bloquant svp.",Neutre,False,,Autre,Autre,True
SAA-0102,2025-12-08,Téléphone,3,L’authentification 2FA ne fonctionne pas rapidement.,L’authentification 2FA ne fonctionne pas rapidement.,Négatif,True,ne marche/fonctionne pas,Connexion,Connexion / Auth,False
SAA-0103,2025-10-11,App,2,Je n'arrive pas à réinitialiser mon mot de passe depuis la mise à jour.,Je n'arrive pas à réinitialiser mon mot de passe depuis la mise à jour.,Neutre,False,,Connexion,Connexion / Auth,False
SAA-0104,2025-12-22,App,3,La synchro prend des minutes.,La synchro prend des minutes.,Neutre,False,,Synchroniser,Produit / Fonctionnalité,False
SAA-0105,2025-10-29,Téléphone,3,"Support pro, merci. Je suis bloqué.","Support pro, merci. Je suis bloqué.",Négatif,True,"bloqué/bloque, je suis bloqué",Autre,Support,False
SAA-0106,2025-11-20,Téléphone,4,Les filtres sont difficiles à utiliser svp.,Les filtres sont difficiles à utiliser svp.,Neutre,False,,Navigation,Recherche / Navigation,False
SAA-0107,2025-10-04,App,1,On me demande de répéter les infos à chaque fois.,On me demande de répéter les infos à chaque fois.,Neutre,False,,Autre,Autre,True
SAA-0108,2025-10-19,App,2,Je n'ai pas accès à ma facture.,Je n'ai pas accès à ma facture.,Neutre,False,,Autre,Paiement,False
SAA-0109,2025-11-30,Web,4,Le prélèvement a été fait deux fois depuis la mise à jour.,Le prélèvement a été fait deux fois depuis la mise à jour.,Neutre,False,,Autre,Paiement,False
SAA-0110,2025-10-15,Email,3,L'app plante dès que j'ouvre le module rapports merci. Je voudrais un remboursement.,L'app plante dès que j'ouvre le module rapports merci. Je voudrais un remboursement.,Positif,False,,Autre,Retour / Remboursement,False
SAA-0111,2025-12-10,Téléphone,2,Je n’ai pas eu de solution via le ticket svp.,Je n’ai pas eu de solution via le ticket svp.,Neutre,False,,Autre,Support,False
SAA-0112,2025-12-20,Web,2,La facture n’est pas au bon montant svp.,La facture n’est pas au bon montant svp.,Neutre,False,,Autre,Paiement,False
SAA-0113,2025-11-24,Chat,1,Je n'ai pas accès à ma facture svp.,Je n'ai pas accès à ma facture svp.,Neutre,False,,Autre,Paiement,False
SAA-0114,2025-12-08,App,3,Le tableau de bord freeze souvent.,Le tableau de bord freeze souvent.,Neutre,False,,Autre,Autre,True
SAA-0115,2025-12-02,Téléphone,3,Temps de réponse énorme sur la recherche.,Temps de réponse énorme sur la recherche.,Neutre,False,,Navigation,Recherche / Navigation,False
SAA-0116,2025-11-14,Téléphone,4,Je veux changer de plan mais ça ne fonctionne pas !!!.,Je veux changer de plan mais ça ne fonctionne pas !!!.,Négatif,True,ne marche/fonctionne pas,Autre,Blocage fonctionnel,False
SAA-0117,2025-11-10,App,2,Le tableau de bord freeze souvent.,Le tableau de bord freeze souvent.,Neutre,False,,Autre,Autre,True
SAA-0118,2025-12-05,Téléphone,3,Mon mot de passe est refusé alors qu'il est correct :(.,Mon mot de passe est refusé alors qu'il est correct :(.,Négatif,True,échec/refus,Connexion,Paiement,False
SAA-0119,2025-12-02,Téléphone,2,La synchro prend des minutes !!!.,La synchro prend des minutes !!!.,Neutre,False,,Synchroniser,Produit / Fonctionnalité,False
SAA-0120,2025-11-27,App,1,Temps de réponse énorme sur la recherche merci. Je suis bloqué.,Temps de réponse énorme sur la recherche merci. Je suis bloqué.,Négatif,True,"bloqué/bloque, je suis bloqué",Navigation,Recherche / Navigation,False
SAA-0121,2025-12-11,Web,4,L’authentification 2FA ne fonctionne pas. Merci de corriger au plus vite.,L’authentification 2FA ne fonctionne pas. Merci de corriger au plus vite.,Négatif,True,ne marche/fonctionne pas,Connexion,Connexion / Auth,False
SAA-0122,2025-11-26,Email,2,Le chat bot ne comprend pas ma demande !!!.,Le chat bot ne comprend pas ma demande !!!.,Neutre,False,,Autre,Support,False
SAA-0123,2025-11-05,App,3,Je ne comprends pas où configurer les rôles svp.,Je ne comprends pas où configurer les rôles svp.,Neutre,False,,Configuration,Produit / Fonctionnalité,False
SAA-0124,2025-10-15,App,1,Temps de réponse énorme sur la recherche rapidement.,Temps de réponse énorme sur la recherche rapidement.,Positif,False,,Navigation,Recherche / Navigation,False
SAA-0125,2025-10-06,Web,3,Le produit répond à nos besoins :(.,Le produit répond à nos besoins :(.,Neutre,False,,Autre,Autre,True
SAA-0126,2025-11-01,Web,1,Trop de clics pour faire une action simple !!!. Je voudrais un remboursement.,Trop de clics pour faire une action simple !!!. Je voudrais un remboursement.,Neutre,False,,Autre,Retour / Remboursement,False
SAA-0127,2025-10-16,Chat,2,Bug d'affichage sur mobile.,Bug d'affichage sur mobile.,Négatif,True,erreur/bug/crash,Autre,Bug technique,False
SAA-0128,2025-12-18,Chat,5,Le produit répond à nos besoins :(.,Le produit répond à nos besoins :(.,Neutre,False,,Autre,Autre,True
SAA-0129,2025-10-08,Téléphone,2,Trop de clics pour faire une action simple svp.,Trop de clics pour faire une action simple svp.,Neutre,False,,Autre,UX / Complexité,False
SAA-0130,2025-11-07,Téléphone,2,Le bouton 'Enregistrer' ne marche pas depuis la mise à jour. Je voudrais un remboursement.,Le bouton 'Enregistrer' ne marche pas depuis la mise à jour. Je voudrais un remboursement.,Négatif,True,ne marche/fonctionne pas,Sauvegarder,Retour / Remboursement,False
SAA-0131,2025-11-22,Chat,2,Le support est lent à répondre.,Le support est lent à répondre.,Neutre,False,,Autre,Support,False
SAA-0132,2025-11-01,Web,4,Je n’ai pas eu de solution via le ticket svp. Je suis bloqué.,Je n’ai pas eu de solution via le ticket svp. Je suis bloqué.,Négatif,True,"bloqué/bloque, je suis bloqué",Autre,Support,False
SAA-0133,2025-11-18,Email,1,Le prélèvement a été fait deux fois merci.,Le prélèvement a été fait deux fois merci.,Positif,False,,Autre,Paiement,False
SAA-0134,2025-11-17,App,4,Je veux changer de plan mais ça ne fonctionne pas merci.,Je veux changer de plan mais ça ne fonctionne pas merci.,Négatif,True,ne marche/fonctionne pas,Autre,Satisfaction,False
SAA-0135,2025-11-28,App,4,Je ne comprends pas où configurer les rôles.,Je ne comprends pas où configurer les rôles.,Neutre,False,,Configuration,Produit / Fonctionnalité,False
SAA-0136,2025-11-24,Web,4,"Très bon outil, je le recommande depuis la mise à jour.","Très bon outil, je le recommande depuis la mise à jour.",Neutre,False,,Autre,Commande,False
SAA-0137,2025-12-13,App,4,Bug d'affichage sur mobile merci.,Bug d'affichage sur mobile merci.,Négatif,True,erreur/bug/crash,Autre,Satisfaction,False
SAA-0138,2025-10-03,Web,2,Le support est lent à répondre. Merci de corriger au plus vite.,Le support est lent à répondre. Merci de corriger au plus vite.,Positif,False,,Autre,Support,False
SAA-0139,2025-10-17,Chat,2,Je n'ai pas accès à ma facture !!!. Je voudrais un remboursement.,Je n'ai pas accès à ma facture !!!. Je voudrais un remboursement.,Neutre,False,,Autre,Paiement,False
SAA-0140,2025-11-02,Chat,5,Bonne expérience globale.,Bonne expérience globale.,Neutre,False,,Autre,Promo / Réduction,False
SAA-0141,2025-10-30,Email,1,L’authentification 2FA ne fonctionne pas merci.,L’authentification 2FA ne fonctionne pas merci.,Négatif,True,ne marche/fonctionne pas,Connexion,Connexion / Auth,False
SAA-0142,2025-10-29,Email,4,Mon mot de passe est refusé alors qu'il est correct rapidement. J'ai essayé de redémarrer et ça ne change rien.,Mon mot de passe est refusé alors qu'il est correct rapidement. J'ai essayé de redémarrer et ça ne change rien.,Négatif,True,échec/refus,Connexion,Paiement,False
SAA-0143,2025-11-24,Web,2,Je n'arrive pas à réinitialiser mon mot de passe.,Je n'arrive pas à réinitialiser mon mot de passe.,Neutre,False,,Connexion,Connexion / Auth,False
SAA-0144,2025-10-14,App,3,Mon mot de passe est refusé alors qu'il est correct !!!. Je perds beaucoup de temps.,Mon mot de passe est refusé alors qu'il est correct !!!. Je perds beaucoup de temps.,Négatif,True,échec/refus,Connexion,Paiement,False
SAA-0145,2025-12-26,Téléphone,1,Temps de réponse énorme sur la recherche.,Temps de réponse énorme sur la recherche.,Neutre,False,,Navigation,Recherche / Navigation,False
SAA-0146,2025-10-28,Chat,4,Je ne comprends pas où configurer les rôles.,Je ne comprends pas où configurer les rôles.,Neutre,False,,Configuration,Produit / Fonctionnalité,False
SAA-0147,2025-10-12,Email,2,Je veux changer de plan mais ça ne fonctionne pas rapidement.,Je veux changer de plan mais ça ne fonctionne pas rapidement.,Négatif,True,ne marche/fonctionne pas,Autre,Blocage fonctionnel,False
SAA-0148,2025-11-10,Chat,2,Je ne trouve pas l’historique des actions :(.,Je ne trouve pas l’historique des actions :(.,Neutre,False,,Historique,Produit / Fonctionnalité,False
SAA-0149,2025-12-16,Email,2,L'app plante dès que j'ouvre le module rapports svp.,L'app plante dès que j'ouvre le module rapports svp.,Neutre,False,,Autre,Autre,True
SAA-0150,2025-12-05,Web,3,Bonne expérience globale svp.,Bonne expérience globale svp.,Neutre,False,,Autre,Promo / Réduction,False
SAA-0151,2025-10-15,Téléphone,4,L'app plante dès que j'ouvre le module rapports svp.,L'app plante dès que j'ouvre le module rapports svp.,Neutre,False,,Autre,Autre,True
SAA-0152,2025-11-10,Téléphone,3,Connexion impossible depuis ce matin.,Connexion impossible depuis ce matin.,Négatif,True,impossible,Connexion,Connexion / Auth,False
SAA-0153,2025-11-30,Email,1,Problème de renouvellement d’abonnement depuis la mise à jour.,Problème de renouvellement d’abonnement depuis la mise à jour.,Neutre,False,,Autre,Paiement,False
SAA-0154,2025-10-06,Téléphone,3,Je ne comprends pas où configurer les rôles.,Je ne comprends pas où configurer les rôles.,Neutre,False,,Configuration,Produit / Fonctionnalité,False
