id,date,canal,csat,commentaire
SAA-0043,2025-12-26,Email,2,La facture n’est pas au bon montant.
SAA-0044,2025-12-14,Web,1,Problème de renouvellement d’abonnement.
SAA-0045,2025-10-09,App,1,L'app plante dès que j'ouvre le module rapports depuis la mise à jour.
SAA-0046,2025-12-22,Web,3,Le prélèvement a été fait deux fois.
SAA-0047,2025-12-09,Email,3,La facture n’est pas au bon montant !!!. Je voudrais un remboursement.
SAA-0048,2025-10-29,Email,1,La synchro prend des minutes !!!.
SAA-0049,2025-11-18,Chat,2,"Impossible d'exporter, ça crash depuis la mise à jour."
SAA-0050,2025-10-15,Téléphone,3,Problème de renouvellement d’abonnement.
SAA-0051,2025-12-16,Téléphone,5,"Très bon outil, je le recommande svp. Je perds beaucoup de temps."
SAA-0052,2025-11-21,Téléphone,2,Le support est lent à répondre svp.
SAA-0053,2025-11-07,Téléphone,3,L'application est très lente.
SAA-0054,2025-10-19,Chat,3,L’interface n’est pas intuitive svp.
SAA-0055,2025-10-23,Téléphone,3,Problème de renouvellement d’abonnement merci. J'ai essayé de redémarrer et ça ne change rien.
SAA-0056,2025-12-25,Web,3,Je n'ai pas accès à ma facture :(.
SAA-0057,2025-12-08,Chat,2,Le prélèvement a été fait deux fois merci.
SAA-0058,2025-12-11,Téléphone,3,Erreur 500 quand je sauvegarde rapidement.
SAA-0059,2025-10-27,Email,4,Trop de clics pour faire une action simple !!!.
SAA-0060,2025-10-25,Web,2,Problème de renouvellement d’abonnement.
SAA-0061,2025-10-25,Téléphone,3,On me demande de répéter les infos à chaque fois.
SAA-0062,2025-11-12,Chat,1,Temps de réponse énorme sur la recherche svp.
SAA-0063,2025-12-29,Web,2,L'application est très lente rapidement.
SAA-0064,2025-11-18,App,3,La synchro prend des minutes :(.
SAA-0065,2025-11-29,App,4,Bug d'affichage sur mobile depuis la mise à jour.
SAA-0066,2025-12-12,Chat,2,Le tableau de bord freeze souvent :(.
SAA-0067,2025-12-14,App,3,Je n'arrive pas à réinitialiser mon mot de passe depuis la mise à jour.
SAA-0068,2025-12-12,Web,2,Les pages mettent trop longtemps à charger :(.
SAA-0069,2025-12-02,Web,4,L’interface n’est pas intuitive merci.
SAA-0070,2025-12-09,Téléphone,2,Le prélèvement a été fait deux fois :(. Je voudrais un remboursement.
SAA-0071,2025-12-25,Web,1,Le support est lent à répondre depuis la mise à jour. Je perds beaucoup de temps.
SAA-0072,2025-10-02,App,4,Les pages mettent trop longtemps à charger.
SAA-0073,2025-10-03,Email,3,Connexion impossible depuis ce matin rapidement.
SAA-0074,2025-11-06,Chat,3,Connexion impossible depuis ce matin merci.
SAA-0075,2025-12-19,App,2,"Impossible de me connecter, ça bloque au login depuis la mise à jour. C'est vraiment frustrant."
SAA-0076,2025-11-21,Chat,2,"Impossible d'exporter, ça crash."
SAA-0077,2025-11-18,Email,4,L'app plante dès que j'ouvre le module rapports. Merci de corriger au plus vite.
SAA-0078,2025-12-22,Téléphone,2,Le support est lent à répondre. Merci de corriger au plus vite.
SAA-0079,2025-10-30,Téléphone,3,"Très bon outil, je le recommande depuis la mise à jour."
SAA-0080,2025-12-27,Chat,1,Problème de renouvellement d’abonnement.
SAA-0081,2025-12-15,Web,3,Bonne expérience globale.
SAA-0082,2025-12-12,Téléphone,3,Je n'arrive pas à réinitialiser mon mot de passe.
SAA-0083,2025-12-28,Téléphone,1,"Impossible d'exporter, ça crash."
SAA-0084,2025-10-10,Téléphone,3,"Je veux escalader, c’est bloquant. C'est vraiment frustrant."
SAA-0085,2025-11-27,App,2,Je ne trouve pas l’historique des actions :(. Je suis bloqué.
SAA-0086,2025-12-24,Téléphone,1,Je ne trouve pas l’historique des actions !!!. J'ai essayé de redémarrer et ça ne change rien.
SAA-0087,2025-11-18,Web,2,Erreur 500 quand je sauvegarde. C'est vraiment frustrant.
SAA-0088,2025-11-26,Email,2,Bug d'affichage sur mobile. Je suis bloqué.
SAA-0089,2025-12-11,Email,3,L'application est très lente.
SAA-0090,2025-12-16,Web,3,"Impossible de me connecter, ça bloque au login :(."
SAA-0091,2025-10-11,Téléphone,2,Je n'arrive pas à réinitialiser mon mot de passe !!!.
SAA-0092,2025-11-08,Chat,3,Trop de clics pour faire une action simple !!!. Je suis bloqué.
SAA-0093,2025-11-08,App,1,Mon mot de passe est refusé alors qu'il est correct !!!.
SAA-0094,2025-10-26,Chat,1,Erreur 500 quand je sauvegarde rapidement.
SAA-0095,2025-12-19,Web,3,L'app plante dès que j'ouvre le module rapports !!!.
SAA-0096,2025-12-17,Web,2,"Impossible d'exporter, ça crash."
SAA-0097,2025-11-07,Téléphone,4,Erreur 500 quand je sauvegarde !!!.
SAA-0098,2025-11-20,Téléphone,4,Produit stable et simple à utiliser :(.
SAA-0099,2025-10-04,Chat,4,La synchro prend des minutes depuis la mise à jour. J'ai essayé de redémarrer et ça ne change rien.
SAA-0100,2025-11-22,Chat,4,Problème de renouvellement d’abonnement.
SAA-0101,2025-10-20,Web,3,"Je veux escalader, c’est bloquant svp."
SAA-0102,2025-12-08,Téléphone,3,L’authentification 2FA ne fonctionne pas rapidement.
SAA-0103,2025-10-11,App,2,Je n'arrive pas à réinitialiser mon mot de passe depuis la mise à jour.
SAA-0104,2025-12-22,App,3,La synchro prend des minutes.
SAA-0105,2025-10-29,Téléphone,3,"Support pro, merci. Je suis bloqué."
SAA-0106,2025-11-20,Téléphone,4,Les filtres sont difficiles à utiliser svp.
SAA-0107,2025-10-04,App,1,On me demande de répéter les infos à chaque fois.
SAA-0108,2025-10-19,App,2,Je n'ai pas accès à ma facture.
SAA-0109,2025-11-30,Web,4,Le prélèvement a été fait deux fois depuis la mise à jour.
SAA-0110,2025-10-15,Email,3,L'app plante dès que j'ouvre le module rapports merci. Je voudrais un remboursement.
SAA-0111,2025-12-10,Téléphone,2,Je n’ai pas eu de solution via le ticket svp.
SAA-0112,2025-12-20,Web,2,La facture n’est pas au bon montant svp.
SAA-0113,2025-11-24,Chat,1,Je n'ai pas accès à ma facture svp.
SAA-0114,2025-12-08,App,3,Le tableau de bord freeze souvent.
SAA-0115,2025-12-02,Téléphone,3,Temps de réponse énorme sur la recherche.
SAA-0116,2025-11-14,Téléphone,4,Je veux changer de plan mais ça ne fonctionne pas !!!.
SAA-0117,2025-11-10,App,2,Le tableau de bord freeze souvent.
SAA-0118,2025-12-05,Téléphone,3,Mon mot de passe est refusé alors qu'il est correct :(.
SAA-0119,2025-12-02,Téléphone,2,La synchro prend des minutes !!!.
SAA-0120,2025-11-27,App,1,Temps de réponse énorme sur la recherche merci. Je suis bloqué.
SAA-0121,2025-12-11,Web,4,L’authentification 2FA ne fonctionne pas. Merci de corriger au plus vite.
SAA-0122,2025-11-26,Email,2,Le chat bot ne comprend pas ma demande !!!.
SAA-0123,2025-11-05,App,3,Je ne comprends pas où configurer les rôles svp.
SAA-0124,2025-10-15,App,1,Temps de réponse énorme sur la recherche rapidement.
SAA-0125,2025-10-06,Web,3,Le produit répond à nos besoins :(.
SAA-0126,2025-11-01,Web,1,Trop de clics pour faire une action simple !!!. Je voudrais un remboursement.
SAA-0127,2025-10-16,Chat,2,Bug d'affichage sur mobile.
SAA-0128,2025-12-18,Chat,5,Le produit répond à nos besoins :(.
SAA-0129,2025-10-08,Téléphone,2,Trop de clics pour faire une action simple svp.
SAA-0130,2025-11-07,Téléphone,2,Le bouton 'Enregistrer' ne marche pas depuis la mise à jour. Je voudrais un remboursement.
SAA-0131,2025-11-22,Chat,2,Le support est lent à répondre.
SAA-0132,2025-11-01,Web,4,Je n’ai pas eu de solution via le ticket svp. Je suis bloqué.
SAA-0133,2025-11-18,Email,1,Le prélèvement a été fait deux fois merci.
SAA-0134,2025-11-17,App,4,Je veux changer de plan mais ça ne fonctionne pas merci.
SAA-0135,2025-11-28,App,4,Je ne comprends pas où configurer les rôles.
SAA-0136,2025-11-24,Web,4,"Très bon outil, je le recommande depuis la mise à jour."
SAA-0137,2025-12-13,App,4,Bug d'affichage sur mobile merci.
SAA-0138,2025-10-03,Web,2,Le support est lent à répondre. Merci de corriger au plus vite.
SAA-0139,2025-10-17,Chat,2,Je n'ai pas accès à ma facture !!!. Je voudrais un remboursement.
SAA-0140,2025-11-02,Chat,5,Bonne expérience globale.
SAA-0141,2025-10-30,Email,1,L’authentification 2FA ne fonctionne pas merci.
SAA-0142,2025-10-29,Email,4,Mon mot de passe est refusé alors qu'il est correct rapidement. J'ai essayé de redémarrer et ça ne change rien.
SAA-0143,2025-11-24,Web,2,Je n'arrive pas à réinitialiser mon mot de passe.
SAA-0144,2025-10-14,App,3,Mon mot de passe est refusé alors qu'il est correct !!!. Je perds beaucoup de temps.
SAA-0145,2025-12-26,Téléphone,1,Temps de réponse énorme sur la recherche.
SAA-0146,2025-10-28,Chat,4,Je ne comprends pas où configurer les rôles.
SAA-0147,2025-10-12,Email,2,Je veux changer de plan mais ça ne fonctionne pas rapidement.
SAA-0148,2025-11-10,Chat,2,Je ne trouve pas l’historique des actions :(.
SAA-0149,2025-12-16,Email,2,L'app plante dès que j'ouvre le module rapports svp.
SAA-0150,2025-12-05,Web,3,Bonne expérience globale svp.
SAA-0151,2025-10-15,Téléphone,4,L'app plante dès que j'ouvre le module rapports svp.
SAA-0152,2025-11-10,Téléphone,3,Connexion impossible depuis ce matin.
SAA-0153,2025-11-30,Email,1,Problème de renouvellement d’abonnement depuis la mise à jour.
SAA-0154,2025-10-06,Téléphone,3,Je ne comprends pas où configurer les rôles.
SAA-0155,2025-11-21,App,2,Le bouton 'Enregistrer' ne marche pas !!!.
SAA-0156,2025-10-27,Téléphone,2,Je n'arrive pas à réinitialiser mon mot de passe.
SAA-0157,2025-11-25,Email,2,"Impossible d'exporter, ça crash."
SAA-0158,2025-12-17,Chat,2,L'application est très lente !!!. J'ai essayé de redémarrer et ça ne change rien.
SAA-0159,2025-10-21,Téléphone,3,"Impossible de me connecter, ça bloque au login."
SAA-0160,2025-11-04,Email,1,L’interface n’est pas intuitive.
SAA-0161,2025-11-03,Web,1,"Impossible d'exporter, ça crash merci."
SAA-0162,2025-10-22,App,2,Je veux changer de plan mais ça ne fonctionne pas :(. J'ai essayé de redémarrer et ça ne change rien.
SAA-0163,2025-12-05,Email,4,"Très bon outil, je le recommande."
SAA-0164,2025-10-20,Téléphone,1,L'application est très lente rapidement.
SAA-0165,2025-11-23,App,5,"Support pro, merci svp."
SAA-0166,2025-10-07,Téléphone,4,"Très bon outil, je le recommande :(. Je voudrais un remboursement."
SAA-0167,2025-11-06,App,2,L’authentification 2FA ne fonctionne pas.
SAA-0168,2025-11-07,Téléphone,2,Connexion impossible depuis ce matin rapidement. C'est vraiment frustrant.
SAA-0169,2025-12-03,Téléphone,2,Temps de réponse énorme sur la recherche :(.
SAA-0170,2025-10-04,App,5,Produit stable et simple à utiliser. Merci de corriger au plus vite.
SAA-0171,2025-11-18,App,4,Le support est lent à répondre :(. Je voudrais un remboursement.
SAA-0172,2025-11-23,Chat,1,Mon mot de passe est refusé alors qu'il est correct depuis la mise à jour.
SAA-0173,2025-12-06,App,4,"Je veux escalader, c’est bloquant. C'est vraiment frustrant."
SAA-0174,2025-12-21,Email,3,Je n'ai pas accès à ma facture.
SAA-0175,2025-10-17,App,2,Les filtres sont difficiles à utiliser.
SAA-0176,2025-11-11,App,5,Bonne expérience globale !!!.
SAA-0177,2025-10-14,Chat,1,L'application est très lente svp. J'ai essayé de redémarrer et ça ne change rien.
SAA-0178,2025-12-08,Web,2,La facture n’est pas au bon montant :(.
SAA-0179,2025-10-12,Téléphone,2,"Impossible d'exporter, ça crash merci."
SAA-0180,2025-11-01,Téléphone,3,Mon mot de passe est refusé alors qu'il est correct :(. Je voudrais un remboursement.
SAA-0181,2025-10-23,Web,3,Je n'arrive pas à réinitialiser mon mot de passe merci.
SAA-0182,2025-10-18,Email,1,Les filtres sont difficiles à utiliser svp. Je perds beaucoup de temps.
SAA-0183,2025-11-17,Email,3,Produit stable et simple à utiliser. Merci de corriger au plus vite.
SAA-0184,2025-10-10,Chat,1,Les filtres sont difficiles à utiliser merci.
SAA-0185,2025-10-16,Email,3,Le chat bot ne comprend pas ma demande. Je suis bloqué.
SAA-0186,2025-11-20,Web,1,La synchro prend des minutes !!!.
SAA-0187,2025-10-24,Web,2,Le chat bot ne comprend pas ma demande.
SAA-0188,2025-12-03,Email,4,L'application est très lente svp.
SAA-0189,2025-12-22,Téléphone,2,Je n'arrive pas à réinitialiser mon mot de passe !!!. C'est vraiment frustrant.
SAA-0190,2025-11-15,Web,5,"Très bon outil, je le recommande !!!."
SAA-0191,2025-11-04,App,1,Le bouton 'Enregistrer' ne marche pas depuis la mise à jour.
SAA-0192,2025-11-05,Téléphone,3,Trop de clics pour faire une action simple.
SAA-0193,2025-10-13,App,2,Le bouton 'Enregistrer' ne marche pas svp.
SAA-0194,2025-11-19,Chat,2,Je ne comprends pas où configurer les rôles svp.
SAA-0195,2025-12-29,App,1,La synchro prend des minutes :(.
SAA-0196,2025-10-25,Téléphone,3,Les filtres sont difficiles à utiliser.
SAA-0197,2025-10-30,Email,2,Erreur 500 quand je sauvegarde rapidement. Je perds beaucoup de temps.
SAA-0198,2025-12-18,App,2,Je ne trouve pas l’historique des actions.
SAA-0199,2025-12-15,Email,2,Je n’ai pas eu de solution via le ticket :(. C'est vraiment frustrant.
SAA-0200,2025-11-17,Web,3,Le produit répond à nos besoins :(.
SAA-0201,2025-10-18,Web,4,Je ne comprends pas où configurer les rôles :(.
SAA-0202,2025-12-28,Chat,5,"Support pro, merci :(. J'ai essayé de redémarrer et ça ne change rien."
SAA-0203,2025-12-28,Chat,2,On me demande de répéter les infos à chaque fois.
SAA-0204,2025-12-12,Téléphone,2,Le support est lent à répondre !!!.
SAA-0205,2025-10-14,App,2,Le bouton 'Enregistrer' ne marche pas svp.
SAA-0206,2025-11-10,Email,4,Le support est lent à répondre svp.
SAA-0207,2025-11-01,App,4,Bonne expérience globale rapidement. C'est vraiment frustrant.
SAA-0208,2025-11-23,Web,3,L'app plante dès que j'ouvre le module rapports. Merci de corriger au plus vite.
SAA-0209,2025-12-01,Chat,2,Problème de renouvellement d’abonnement depuis la mise à jour.
SAA-0210,2025-11-10,Email,1,Je n'ai pas accès à ma facture.
SAA-0211,2025-12-10,Téléphone,3,Erreur 500 quand je sauvegarde !!!. Je perds beaucoup de temps.
SAA-0212,2025-12-23,Web,3,Je ne trouve pas l’historique des actions.
SAA-0213,2025-10-25,App,2,L'application est très lente.
SAA-0214,2025-12-10,Chat,4,Erreur 500 quand je sauvegarde. J'ai essayé de redémarrer et ça ne change rien.
SAA-0215,2025-11-07,Chat,4,Je n'arrive pas à réinitialiser mon mot de passe.
SAA-0216,2025-10-11,App,1,"Impossible de me connecter, ça bloque au login svp. Je suis bloqué."
SAA-0217,2025-12-24,Téléphone,4,"Support pro, merci rapidement."
SAA-0218,2025-11-17,Email,4,Le prélèvement a été fait deux fois :(.
SAA-0219,2025-11-04,Chat,1,"Impossible d'exporter, ça crash rapidement."
SAA-0220,2025-12-09,Chat,5,"Très bon outil, je le recommande."
SAA-0221,2025-11-23,Web,4,Je ne comprends pas où configurer les rôles !!!.
SAA-0222,2025-11-20,Email,4,Trop de clics pour faire une action simple rapidement.
SAA-0223,2025-12-26,Email,2,Les filtres sont difficiles à utiliser depuis la mise à jour.
SAA-0224,2025-10-22,Chat,4,"Support pro, merci."
SAA-0225,2025-11-25,Téléphone,2,L’authentification 2FA ne fonctionne pas.
SAA-0226,2025-11-20,App,3,Bug d'affichage sur mobile. J'ai essayé de redémarrer et ça ne change rien.
SAA-0227,2025-12-19,Web,3,Je ne trouve pas l’historique des actions.
SAA-0228,2025-12-14,Email,1,L’authentification 2FA ne fonctionne pas. J'ai essayé de redémarrer et ça ne change rien.
SAA-0229,2025-11-14,Web,2,Je ne comprends pas où configurer les rôles merci.
SAA-0230,2025-11-21,Téléphone,3,Le chat bot ne comprend pas ma demande rapidement. Je suis bloqué.
SAA-0231,2025-11-12,Email,2,Le chat bot ne comprend pas ma demande.
SAA-0232,2025-10-03,App,2,Le chat bot ne comprend pas ma demande merci.
SAA-0233,2025-10-30,Web,2,"Impossible d'exporter, ça crash."
SAA-0234,2025-12-17,Chat,4,Bonne expérience globale merci.
SAA-0235,2025-12-06,Email,3,Le prélèvement a été fait deux fois !!!.
SAA-0236,2025-12-04,Téléphone,2,Trop de clics pour faire une action simple.
SAA-0237,2025-10-08,Web,1,Je ne comprends pas où configurer les rôles. C'est vraiment frustrant.
SAA-0238,2025-11-29,Email,3,Je n'arrive pas à réinitialiser mon mot de passe svp.
SAA-0239,2025-12-16,Web,2,Le support est lent à répondre svp.
SAA-0240,2025-11-03,Email,4,Les filtres sont difficiles à utiliser :(.
SAA-0241,2025-10-28,Chat,2,L'app plante dès que j'ouvre le module rapports !!!. J'ai essayé de redémarrer et ça ne change rien.
SAA-0242,2025-12-05,Email,4,Je n’ai pas eu de solution via le ticket merci.
SAA-0243,2025-10-02,Téléphone,2,Le prélèvement a été fait deux fois.
SAA-0244,2025-11-18,Web,5,Bonne expérience globale merci.
SAA-0245,2025-12-06,Téléphone,3,Erreur 500 quand je sauvegarde rapidement.
SAA-0246,2025-11-17,App,2,"Impossible de me connecter, ça bloque au login depuis la mise à jour."
SAA-0247,2025-12-21,App,2,Le support est lent à répondre rapidement. Je suis bloqué.
SAA-0248,2025-10-08,Web,3,"Je veux escalader, c’est bloquant svp. C'est vraiment frustrant."
SAA-0249,2025-12-23,App,2,"Je veux escalader, c’est bloquant."
SAA-0250,2025-12-14,App,2,La facture n’est pas au bon montant !!!.
SAA-0251,2025-11-30,Téléphone,2,Je n’ai pas eu de solution via le ticket depuis la mise à jour.
SAA-0252,2025-11-30,Téléphone,2,Erreur 500 quand je sauvegarde depuis la mise à jour. Je perds beaucoup de temps.
SAA-0253,2025-10-29,App,4,Produit stable et simple à utiliser :(.
SAA-0254,2025-11-07,Web,1,Problème de renouvellement d’abonnement :(.
SAA-0255,2025-10-25,Web,1,Connexion impossible depuis ce matin.
SAA-0256,2025-10-18,Web,2,L’interface n’est pas intuitive !!!. C'est vraiment frustrant.
SAA-0257,2025-10-24,Web,1,Je ne trouve pas l’historique des actions.
SAA-0258,2025-10-01,Chat,2,Erreur 500 quand je sauvegarde :(.
SAA-0259,2025-10-12,Web,5,Produit stable et simple à utiliser.
SAA-0260,2025-12-01,Email,1,Le chat bot ne comprend pas ma demande !!!.
SAA-DUP00,2025-11-28,App,4,Je ne comprends pas où configurer les rôles.
SAA-DUP01,2025-10-26,Chat,1,Erreur 500 quand je sauvegarde rapidement.
SAA-DUP02,2025-12-19,Web,3,L'app plante dès que j'ouvre le module rapports !!!.
SAA-DUP03,2025-11-14,Téléphone,4,Je veux changer de plan mais ça ne fonctionne pas !!!.
SAA-DUP04,2025-12-20,Web,2,La facture n’est pas au bon montant svp.
SAA-DUP05,2025-11-25,Email,2,"Impossible d'exporter, ça crash."
SAA-DUP06,2025-12-26,Téléphone,3,"Impossible d'exporter, ça crash."
SAA-DUP07,2025-11-30,Téléphone,2,Je n’ai pas eu de solution via le ticket depuis la mise à jour.
SAA-DUP08,2025-12-29,Email,4,Produit stable et simple à utiliser.
SAA-DUP09,2025-12-14,App,3,Je n'arrive pas à réinitialiser mon mot de passe depuis la mise à jour.
SAA-DUP10,2025-12-19,App,2,"Impossible de me connecter, ça bloque au login depuis la mise à jour. C'est vraiment frustrant."
SAA-DUP11,2025-11-21,App,3,Le support est lent à répondre rapidement.
