id;date_commentaire;device;canal;sentiment_source;type_irritant;type_sinistre;anciennete_client;type_contrat;csat;gravite_sinistre;region_client;canal_resolution;commentaire;text_norm;sentiment_pred;score_sentiment;incident;categorie_principale;categorie_secondaire;score_categorie;methode_categorie;contradiction;theme;theme_detail;pipeline_version
11;2024-03-26;Android;App;pos;authentification;collision;0-1 an;tous_risques;5;faible;PACA;Téléphone;Très satisfait, le lien de connexion expire quand je valide le code au début, puis tout s'est débloqué rapidement.;très satisfait le lien de connexion expire quand je valide le code au début puis tout s'est débloqué rapidement;Positif;1.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
12;2024-01-30;Android;App;pos;parcours;collision;3-10 ans;jeune_conducteur;4;moyenne;PACA;App;Merci, je ne comprends pas les étapes entre les onglets et j'ai pu finaliser sans stress, du coup le suivi était clair, continuez comme ça.;merci je ne comprends pas les étapes entre les onglets et j'ai pu finaliser sans stress du coup le suivi était clair continuez comme ça;Positif;1.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
13;2024-12-08;iOS;App;neg;parcours;collision;1-3 ans;tous_risques;1;faible;Grand Est;Web;Très mécontent, je ne comprends pas les étapes pour une simple déclaration malgré plusieurs essais, du coup rien n'avance, c'est pas sérieux.;très mécontent je ne comprends pas les étapes pour une simple déclaration malgré plusieurs essais du coup rien n'avance c'est pas sérieux;Négatif;1.0;True;Déclaration / Dossier;;1.0;keywords;False;Déclaration / Dossier;;ASSURANCE_FINAL_v1
14;2024-03-21;Android;App;neg;complexité;vol;3-10 ans;tous_risques;2;forte;Île-de-France;Email;Très mécontent, la procédure est trop longue pour un sinistre simple, mais je perds un temps fou, je vais réessayer plus tard.;très mécontent la procédure est trop longue pour un sinistre simple mais je perds un temps fou je vais réessayer plus tard;Négatif;1.0;True;Sinistre / Indemnisation;;1.0;keywords;False;Sinistre / Indemnisation;;ASSURANCE_FINAL_v1
15;2024-11-20;Web;App;neg;authentification;collision;3-10 ans;jeune_conducteur;1;faible;Pays de la Loire;Web;Très mécontent, la reconnaissance Face ID échoue même après réinitialisation et je perds tout, honnêtement je perds un temps fou, merci de corriger vite.;très mécontent la reconnaissance face id échoue même après réinitialisation et je perds tout honnêtement je perds un temps fou merci de corriger vite;Négatif;1.0;True;Inconnu;;0.0;no_signal;False;Inconnu;;ASSURANCE_FINAL_v1
16;2024-03-17;iOS;Web;neg;photo;collision;1-3 ans;jeune_conducteur;1;moyenne;Auvergne-Rhône-Alpes;App;Très mécontent, la caméra ne s'ouvre pas pendant la déclaration et je perds tout, franchement rien n'avance, j'ai fini par appeler.;très mécontent la caméra ne s'ouvre pas pendant la déclaration et je perds tout franchement rien n'avance j'ai fini par appeler;Négatif;1.0;True;Support / Service client;;1.0;keywords;False;Support / Service client;;ASSURANCE_FINAL_v1
17;2024-07-30;Android;Web;neg;complexité;vol;10+ ans;jeune_conducteur;2;faible;PACA;App;Franchement, trop de champs obligatoires alors que j'ai déjà envoyé malgré plusieurs essais, du coup je perds un temps fou, je vais réessayer plus tard.;franchement trop de champs obligatoires alors que j'ai déjà envoyé malgré plusieurs essais du coup je perds un temps fou je vais réessayer plus tard;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
18;2024-12-03;Android;App;pos;complexité;collision;3-10 ans;tous_risques;5;forte;Île-de-France;Agence;Merci, les justificatifs demandés sont trop nombreux pour avancer au début, puis tout s'est débloqué rapidement, alors tout est bien expliqué, continuez comme ça, rapide.;merci les justificatifs demandés sont trop nombreux pour avancer au début puis tout s'est débloqué rapidement alors tout est bien expliqué continuez comme ça rapide;Positif;2.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
19;2024-10-22;Android;App;neg;parcours;vol;3-10 ans;pro;1;faible;Île-de-France;Téléphone;Je suis déçu on tourne en rond dans les écrans entre les onglets et je perds tout bref je perds un temps fou je vais.;je suis déçu on tourne en rond dans les écrans entre les onglets et je perds tout bref je perds un temps fou je vais;Négatif;1.0;True;Inconnu;;0.0;no_signal;False;Inconnu;;ASSURANCE_FINAL_v1
20;2024-10-10;Android;App;pos;parcours;catastrophe_naturelle;3-10 ans;tiers;4;faible;Auvergne-Rhône-Alpes;Téléphone;Nickel je n'arrive pas à trouver où suivre mon sinistre sur le récapitulatif mais la résolution a été rapide bref j'ai eu une réponse rapide.;nickel je n'arrive pas à trouver où suivre mon sinistre sur le récapitulatif mais la résolution a été rapide bref j'ai eu une réponse rapide;Positif;1.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
21;2024-12-03;Android;App;neu;photo;vol;3-10 ans;tous_risques;3;faible;Auvergne-Rhône-Alpes;App;Ça pourrait être mieux, l'ajout des photos bloque au moment de valider, mais ça passe mais c'est limite, ça manque de simplicité.;ça pourrait être mieux l'ajout des photos bloque au moment de valider mais ça passe mais c'est limite ça manque de simplicité;Négatif;1.0;True;Compte / Connexion / Authentification;;1.0;keywords;False;Compte / Connexion / Authentification;;ASSURANCE_FINAL_v1
22;2024-07-23;Android;Web;neg;bug;vol;0-1 an;tous_risques;1;moyenne;PACA;Web;Ras-le-bol, le bouton valider ne fait rien au moment de confirmer, mais je perds un temps fou, c'est pas sérieux.;ras le bol le bouton valider ne fait rien au moment de confirmer mais je perds un temps fou c'est pas sérieux;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
23;2024-09-15;Android;Téléphone;neg;photo;incendie;3-10 ans;tous_risques;2;moyenne;Hauts-de-France;Web;C'est inadmissible, l'envoi des clichés échoue au moment de valider, mais je perds un temps fou, c'est pas sérieux.;c'est inadmissible l'envoi des clichés échoue au moment de valider mais je perds un temps fou c'est pas sérieux;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
24;2024-04-28;Android;App;neg;lenteur;collision;3-10 ans;tiers;2;faible;Pays de la Loire;Email;Ras-le-bol, le chargement est interminable à chaque étape, franchement je perds un temps fou, je vais réessayer plus tard.;ras le bol le chargement est interminable à chaque étape franchement je perds un temps fou je vais réessayer plus tard;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
25;2024-08-02;iOS;Web;neu;authentification;collision;1-3 ans;tous_risques;3;faible;Grand Est;Téléphone;Globalement ça va, ça bloque sur l'authentification même après réinitialisation, honnêtement j'ai dû m'y reprendre, ça manque de simplicité.;globalement ça va ça bloque sur l'authentification même après réinitialisation honnêtement j'ai dû m'y reprendre ça manque de simplicité;Négatif;1.0;True;Compte / Connexion / Authentification;;2.0;keywords;False;Compte / Connexion / Authentification;;ASSURANCE_FINAL_v1
26;2024-01-14;Android;App;pos;photo;collision;1-3 ans;tous_risques;5;moyenne;Nouvelle-Aquitaine;Téléphone;Nickel, je ne peux pas joindre les images pendant la déclaration au début, puis tout s'est débloqué rapidement, mais tout est bien expliqué, service efficace.;nickel je ne peux pas joindre les images pendant la déclaration au début puis tout s'est débloqué rapidement mais tout est bien expliqué service efficace;Positif;1.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
27;2024-01-21;iOS;Téléphone;neg;photo;collision;0-1 an;tous_risques;1;faible;Auvergne-Rhône-Alpes;App;Franchement, les photos restent en attente après trois essais malgré plusieurs essais, mais rien n'avance, merci de corriger vite.;franchement les photos restent en attente après trois essais malgré plusieurs essais mais rien n'avance merci de corriger vite;Positif;1.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
28;2024-07-11;Android;Web;neg;parcours;bris_de_glace;0-1 an;tous_risques;1;moyenne;Hauts-de-France;App;Je suis déçu je n'arrive pas à trouver où suivre mon sinistre quand il faut choisir le garage et je perds tout bref ça bloque.;je suis déçu je n'arrive pas à trouver où suivre mon sinistre quand il faut choisir le garage et je perds tout bref ça bloque;Négatif;2.0;True;Compte / Connexion / Authentification;;1.0;keywords;False;Compte / Connexion / Authentification;;ASSURANCE_FINAL_v1
29;2024-08-09;Web;Web;neu;parcours;collision;3-10 ans;pro;3;faible;Pays de la Loire;Web;Pas terrible mais bon les infos demandées se répètent quand il faut choisir le garage franchement ça passe mais c'est limite le support via web.;pas terrible mais bon les infos demandées se répètent quand il faut choisir le garage franchement ça passe mais c'est limite le support via web;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
30;2024-05-04;iOS;Web;neu;photo;collision;1-3 ans;tous_risques;3;faible;Auvergne-Rhône-Alpes;App;C'est mitigé, les photos restent en attente même en 4G, alors j'ai dû m'y reprendre, le support via app a aidé.;c'est mitigé les photos restent en attente même en g alors j'ai dû m'y reprendre le support via app a aidé;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
31;2024-05-03;iOS;Web;neg;bug;collision;1-3 ans;tous_risques;2;moyenne;Nouvelle-Aquitaine;Web;C'est inadmissible ça me déconnecte tout seul après la mise à jour et je perds tout bref je perds un temps fou je vais réessayer.;c'est inadmissible ça me déconnecte tout seul après la mise à jour et je perds tout bref je perds un temps fou je vais réessayer;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
32;2024-06-10;Android;App;neu;photo;collision;3-10 ans;tous_risques;3;forte;Hauts-de-France;App;Globalement ça va, la caméra ne s'ouvre pas sur l'étape des justificatifs, alors ça passe mais c'est limite, le support via app a aidé.;globalement ça va la caméra ne s'ouvre pas sur l'étape des justificatifs alors ça passe mais c'est limite le support via app a aidé;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
33;2024-01-24;Web;Web;neu;photo;incendie;3-10 ans;jeune_conducteur;3;moyenne;Occitanie;Web;Ça pourrait être mieux, l'ajout des photos bloque à la fin du formulaire, alors j'ai réussi au final, le support via web a aidé.;ça pourrait être mieux l'ajout des photos bloque à la fin du formulaire alors j'ai réussi au final le support via web a aidé;Négatif;1.0;True;Support / Service client;;1.0;keywords;False;Support / Service client;;ASSURANCE_FINAL_v1
34;2024-01-28;Android;Web;pos;photo;collision;3-10 ans;tous_risques;4;moyenne;Nouvelle-Aquitaine;Email;Bonne expérience, l'envoi des clichés échoue après trois essais et j'ai pu finaliser sans stress, franchement tout est bien expliqué, bravo à l'équipe.;bonne expérience l'envoi des clichés échoue après trois essais et j'ai pu finaliser sans stress franchement tout est bien expliqué bravo à l'équipe;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
35;2024-04-18;Android;App;neg;parcours;collision;1-3 ans;tous_risques;2;faible;Auvergne-Rhône-Alpes;Téléphone;Franchement, les boutons ne sont pas clairs quand il faut choisir le garage malgré plusieurs essais, mais ça bloque encore, j'ai fini par appeler.;franchement les boutons ne sont pas clairs quand il faut choisir le garage malgré plusieurs essais mais ça bloque encore j'ai fini par appeler;Négatif;1.0;True;Support / Service client;;1.0;keywords;False;Support / Service client;;ASSURANCE_FINAL_v1
36;2024-05-16;Web;App;neg;photo;vol;3-10 ans;tiers;1;faible;Auvergne-Rhône-Alpes;Web;Ras-le-bol, l'envoi des clichés échoue après trois essais, honnêtement ça bloque encore, merci de corriger vite.;ras le bol l'envoi des clichés échoue après trois essais honnêtement ça bloque encore merci de corriger vite;Négatif;1.0;True;Compte / Connexion / Authentification;;1.0;keywords;False;Compte / Connexion / Authentification;;ASSURANCE_FINAL_v1
37;2024-01-14;Android;Email;neu;parcours;catastrophe_naturelle;10+ ans;tous_risques;3;faible;Île-de-France;Téléphone;Pas terrible mais bon, les infos demandées se répètent entre les onglets, honnêtement j'ai réussi au final, ça manque de simplicité.;pas terrible mais bon les infos demandées se répètent entre les onglets honnêtement j'ai réussi au final ça manque de simplicité;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
38;2024-08-28;Android;App;neu;authentification;collision;3-10 ans;tiers;3;forte;Pays de la Loire;Web;Pas terrible mais bon le mot de passe est refusé alors que mes identifiants sont bons bref ça passe mais c'est limite le support via.;pas terrible mais bon le mot de passe est refusé alors que mes identifiants sont bons bref ça passe mais c'est limite le support via;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
39;2024-01-01;iOS;App;neg;photo;collision;3-10 ans;tous_risques;1;faible;Hauts-de-France;Email;Je suis déçu, je ne peux pas joindre les images même en 4G, honnêtement ça bloque encore, j'ai fini par appeler.;je suis déçu je ne peux pas joindre les images même en g honnêtement ça bloque encore j'ai fini par appeler;Négatif;2.0;True;Support / Service client;;1.0;keywords;False;Support / Service client;;ASSURANCE_FINAL_v1
40;2024-07-27;Android;Agence;pos;lenteur;collision;10+ ans;tous_risques;5;faible;Auvergne-Rhône-Alpes;Téléphone;Très satisfait, les pages se figent à chaque clic depuis hier soir mais la résolution a été rapide, honnêtement le suivi était clair, service efficace.;très satisfait les pages se figent à chaque clic depuis hier soir mais la résolution a été rapide honnêtement le suivi était clair service efficace;Positif;3.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
41;2024-07-31;Android;Web;neg;photo;bris_de_glace;10+ ans;tous_risques;2;moyenne;Occitanie;Web;Ras-le-bol, l'envoi des clichés échoue après trois essais malgré plusieurs essais, franchement rien n'avance, j'ai fini par appeler.;ras le bol l'envoi des clichés échoue après trois essais malgré plusieurs essais franchement rien n'avance j'ai fini par appeler;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
42;2024-01-23;Android;App;pos;lenteur;catastrophe_naturelle;3-10 ans;tous_risques;4;faible;Île-de-France;Web;Nickel le dossier met trop longtemps à s'afficher au moment d'envoyer au début puis tout s'est débloqué rapidement mais tout est bien expliqué continuez comme.;nickel le dossier met trop longtemps à s'afficher au moment d'envoyer au début puis tout s'est débloqué rapidement mais tout est bien expliqué continuez comme;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
43;2024-08-28;iOS;App;neu;lenteur;collision;1-3 ans;tous_risques;3;faible;Bourgogne-Franche-Comté;Web;C'est mitigé, les pages se figent à chaque clic à chaque étape, et j'ai réussi au final, ça manque de simplicité.;c'est mitigé les pages se figent à chaque clic à chaque étape et j'ai réussi au final ça manque de simplicité;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
44;2024-02-16;Android;App;neu;authentification;collision;3-10 ans;jeune_conducteur;3;faible;Pays de la Loire;App;Globalement ça va, la reconnaissance Face ID échoue sur l'espace client, donc j'ai dû m'y reprendre, j'attends une amélioration.;globalement ça va la reconnaissance face id échoue sur l'espace client donc j'ai dû m'y reprendre j'attends une amélioration;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
45;2024-02-10;iOS;App;neu;lenteur;bris_de_glace;1-3 ans;tous_risques;3;faible;Grand Est;Email;C'est mitigé, les pages se figent à chaque clic au moment d'envoyer, donc ça passe mais c'est limite, j'attends une amélioration.;c'est mitigé les pages se figent à chaque clic au moment d'envoyer donc ça passe mais c'est limite j'attends une amélioration;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
46;2024-12-19;Android;Web;neg;lenteur;collision;1-3 ans;tous_risques;2;forte;Auvergne-Rhône-Alpes;Agence;Je suis déçu, ça mouline sans fin sur la validation finale et je perds tout, alors ça bloque encore, merci de corriger vite.;je suis déçu ça mouline sans fin sur la validation finale et je perds tout alors ça bloque encore merci de corriger vite;Négatif;2.0;True;Compte / Connexion / Authentification;;1.0;keywords;False;Compte / Connexion / Authentification;;ASSURANCE_FINAL_v1
47;2024-05-26;iOS;App;neu;photo;collision;1-3 ans;tous_risques;3;moyenne;PACA;App;Pas terrible mais bon, la caméra ne s'ouvre pas même en 4G, et ça passe mais c'est limite, le support via app a aidé.;pas terrible mais bon la caméra ne s'ouvre pas même en g et ça passe mais c'est limite le support via app a aidé;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
48;2024-05-31;Android;App;neg;bug;incendie;1-3 ans;tous_risques;2;moyenne;Auvergne-Rhône-Alpes;Téléphone;Je suis déçu, un message d'erreur apparaît quand j'ouvre le dossier malgré plusieurs essais, bref rien n'avance, j'espère que ça ira mieux.;je suis déçu un message d'erreur apparaît quand j'ouvre le dossier malgré plusieurs essais bref rien n'avance j'espère que ça ira mieux;Négatif;2.0;True;Technique / Bug / Fonctionnalité;;1.0;keywords;False;Technique / Bug / Fonctionnalité;;ASSURANCE_FINAL_v1
49;2024-12-11;Web;Email;neu;lenteur;vol;0-1 an;tous_risques;3;faible;PACA;Téléphone;C'est mitigé, le dossier met trop longtemps à s'afficher sur la validation finale, bref j'ai dû m'y reprendre, le support via téléphone a aidé.;c'est mitigé le dossier met trop longtemps à s'afficher sur la validation finale bref j'ai dû m'y reprendre le support via téléphone a aidé;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
50;2024-06-16;Web;App;neg;bug;catastrophe_naturelle;1-3 ans;tous_risques;1;faible;Île-de-France;Agence;Très mécontent, l'application plante dès que je passe à l'étape suivante, du coup je perds un temps fou, merci quand même.;très mécontent l'application plante dès que je passe à l'étape suivante du coup je perds un temps fou merci quand même;Négatif;2.0;True;Technique / Bug / Fonctionnalité;;3.0;keywords;False;Technique / Bug / Fonctionnalité;;ASSURANCE_FINAL_v1
51;2024-10-03;Android;Web;neg;lenteur;collision;3-10 ans;tous_risques;2;faible;Nouvelle-Aquitaine;Web;C'est inadmissible, le site rame énormément au moment d'envoyer et je perds tout, mais ça bloque encore, c'est pas sérieux.;c'est inadmissible le site rame énormément au moment d'envoyer et je perds tout mais ça bloque encore c'est pas sérieux;Négatif;1.0;True;Compte / Connexion / Authentification;;1.0;keywords;False;Compte / Connexion / Authentification;;ASSURANCE_FINAL_v1
52;2024-08-20;Android;App;neu;complexité;collision;1-3 ans;pro;3;moyenne;Auvergne-Rhône-Alpes;Téléphone;Globalement ça va, c'est trop technique pour un petit impact, du coup ça passe mais c'est limite, le support via téléphone a aidé.;globalement ça va c'est trop technique pour un petit impact du coup ça passe mais c'est limite le support via téléphone a aidé;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
53;2024-03-15;Web;App;neu;photo;incendie;0-1 an;tous_risques;3;moyenne;Hauts-de-France;App;Ça pourrait être mieux, l'envoi des clichés échoue à la fin du formulaire, donc j'ai dû m'y reprendre, le support via app a aidé.;ça pourrait être mieux l'envoi des clichés échoue à la fin du formulaire donc j'ai dû m'y reprendre le support via app a aidé;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
54;2024-09-19;iOS;App;neg;parcours;bris_de_glace;10+ ans;tous_risques;2;faible;Bourgogne-Franche-Comté;App;Je suis déçu, les infos demandées se répètent quand il faut choisir le garage malgré plusieurs essais, franchement ça bloque encore, merci quand même.;je suis déçu les infos demandées se répètent quand il faut choisir le garage malgré plusieurs essais franchement ça bloque encore merci quand même;Négatif;2.0;True;Compte / Connexion / Authentification;;1.0;keywords;False;Compte / Connexion / Authentification;;ASSURANCE_FINAL_v1
55;2024-02-03;Android;Web;neg;parcours;collision;3-10 ans;tiers;2;faible;PACA;Email;Ras-le-bol, les boutons ne sont pas clairs entre les onglets malgré plusieurs essais, du coup rien n'avance, bonne journée.;ras le bol les boutons ne sont pas clairs entre les onglets malgré plusieurs essais du coup rien n'avance bonne journée;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
56;2024-02-18;Android;App;neg;complexité;bris_de_glace;3-10 ans;tiers;1;faible;Île-de-France;Téléphone;Très mécontent, les justificatifs demandés sont trop nombreux pour avancer et je perds tout, et ça bloque encore, c'est pas sérieux.;très mécontent les justificatifs demandés sont trop nombreux pour avancer et je perds tout et ça bloque encore c'est pas sérieux;Négatif;2.0;True;Compte / Connexion / Authentification;;1.0;keywords;False;Compte / Connexion / Authentification;;ASSURANCE_FINAL_v1
57;2024-08-04;Web;Web;pos;parcours;collision;3-10 ans;tiers;5;faible;Île-de-France;Téléphone;Très satisfait, on tourne en rond dans les écrans pour une simple déclaration mais la résolution a été rapide.;très satisfait on tourne en rond dans les écrans pour une simple déclaration mais la résolution a été rapide;Positif;2.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
58;2024-12-21;Android;App;neu;photo;collision;0-1 an;jeune_conducteur;3;moyenne;Nouvelle-Aquitaine;App;Globalement ça va, le scan des documents tourne en rond à la fin du formulaire, mais ça passe mais c'est limite, j'attends une amélioration.;globalement ça va le scan des documents tourne en rond à la fin du formulaire mais ça passe mais c'est limite j'attends une amélioration;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
59;2024-06-15;iOS;Web;neg;photo;collision;3-10 ans;tous_risques;2;faible;Occitanie;Web;Très mécontent, je ne peux pas joindre les images pendant la déclaration, du coup je perds un temps fou, bonne journée.;très mécontent je ne peux pas joindre les images pendant la déclaration du coup je perds un temps fou bonne journée;Négatif;1.0;True;Déclaration / Dossier;;1.0;keywords;False;Déclaration / Dossier;;ASSURANCE_FINAL_v1
60;2024-09-26;iOS;App;neg;parcours;collision;1-3 ans;tiers;1;moyenne;Auvergne-Rhône-Alpes;App;Franchement, les infos demandées se répètent sur le récapitulatif, franchement je perds un temps fou, j'ai fini par appeler.;franchement les infos demandées se répètent sur le récapitulatif franchement je perds un temps fou j'ai fini par appeler;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
61;2024-02-06;Android;Web;neg;lenteur;collision;1-3 ans;tous_risques;2;moyenne;Occitanie;App;Très mécontent, le chargement est interminable au moment d'envoyer malgré plusieurs essais, donc ça bloque encore, c'est pas sérieux.;très mécontent le chargement est interminable au moment d'envoyer malgré plusieurs essais donc ça bloque encore c'est pas sérieux;Négatif;2.0;True;Compte / Connexion / Authentification;;1.0;keywords;False;Compte / Connexion / Authentification;;ASSURANCE_FINAL_v1
62;2024-10-28;Android;App;pos;bug;collision;3-10 ans;tiers;4;faible;Auvergne-Rhône-Alpes;Téléphone;Très satisfait ça me déconnecte tout seul sur la dernière étape au début puis tout s'est débloqué rapidement donc le suivi était clair continuez comme.;très satisfait ça me déconnecte tout seul sur la dernière étape au début puis tout s'est débloqué rapidement donc le suivi était clair continuez comme;Positif;1.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
63;2024-11-17;iOS;Web;neu;lenteur;catastrophe_naturelle;3-10 ans;tous_risques;3;moyenne;Bretagne;Web;Ça pourrait être mieux, le site rame énormément sur la validation finale, mais ça passe mais c'est limite, ça manque de simplicité.;ça pourrait être mieux le site rame énormément sur la validation finale mais ça passe mais c'est limite ça manque de simplicité;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
