id,date,canal,csat,commentaire
ECO-0044,2025-12-10,Email,3,Produits conformes et livraison rapide.
ECO-0045,2025-12-10,App,2,Double prélèvement sur mon compte.
ECO-0046,2025-11-03,App,4,L’application plante au moment de payer :(. Je voudrais un remboursement.
ECO-0047,2025-10-06,Chat,3,Ma livraison est en retard !!!. Où est mon colis ?
ECO-0048,2025-12-10,Téléphone,5,"Interface claire, commande facile."
ECO-0049,2025-12-28,App,1,Ma livraison est en retard. Où est mon colis ?
ECO-0050,2025-10-06,Email,3,Crash de l’app sur la page panier.
ECO-0051,2025-11-15,Web,3,J’attends une réponse du service client depuis 3 jours svp.
ECO-0052,2025-10-23,Chat,1,L’application plante au moment de payer svp.
ECO-0053,2025-11-01,Email,4,"Interface claire, commande facile !!!."
ECO-0054,2025-11-28,Chat,2,Je ne trouve pas le bouton pour modifier mon adresse rapidement.
ECO-0055,2025-11-05,App,1,Le paiement échoue avec ma carte svp.
ECO-0056,2025-12-08,Email,1,Personne ne rappelle malgré ma demande !!!.
ECO-0057,2025-11-25,App,4,J’attends une réponse du service client depuis 3 jours merci. J'ai essayé de redémarrer et ça ne change rien.
ECO-0058,2025-10-25,Web,1,La recherche ne renvoie pas les bons produits depuis la mise à jour. J'ai essayé de redémarrer et ça ne change rien.
ECO-0059,2025-12-25,Web,3,J’ai reçu le mauvais colis depuis la mise à jour.
ECO-0060,2025-10-16,Téléphone,2,Le transporteur n'est jamais passé :(.
ECO-0061,2025-11-07,Chat,2,Impossible d'obtenir une solution via le chat :(.
ECO-0062,2025-11-08,Email,3,Je n’arrive pas à appliquer mon bon de réduction.
ECO-0063,2025-12-14,App,4,On me renvoie de service en service svp.
ECO-0064,2025-12-05,Chat,4,Je n’arrive pas à appliquer mon bon de réduction rapidement.
ECO-0065,2025-12-21,Email,5,"Super expérience, commande reçue rapidement merci."
ECO-0066,2025-10-19,Chat,1,Double prélèvement sur mon compte svp.
ECO-0067,2025-12-20,Web,2,La recherche ne renvoie pas les bons produits.
ECO-0068,2025-10-01,Web,1,Je n’arrive pas à appliquer mon bon de réduction svp. Je voudrais un remboursement.
ECO-0069,2025-12-11,Web,1,"Impossible de finaliser la commande, erreur au paiement depuis la mise à jour."
ECO-0070,2025-12-16,Téléphone,4,Le code promo ne s'applique pas au moment de payer depuis la mise à jour.
ECO-0071,2025-12-10,Web,4,Produits conformes et livraison rapide !!!.
ECO-0072,2025-11-05,Web,3,"Le site est compliqué, trop d'étapes pour commander svp."
ECO-0073,2025-11-06,App,5,"Très satisfaite, tout s'est bien passé merci."
ECO-0074,2025-11-19,Chat,2,Personne ne rappelle malgré ma demande. C'est vraiment frustrant.
ECO-0075,2025-11-29,Chat,1,Retard de livraison depuis une semaine !!!.
ECO-0076,2025-12-13,Email,3,Je n’arrive pas à appliquer mon bon de réduction.
ECO-0077,2025-11-23,Téléphone,4,On me renvoie de service en service !!!.
ECO-0078,2025-12-02,App,3,L’application plante au moment de payer rapidement. Merci de corriger au plus vite.
ECO-0079,2025-10-17,Email,5,"Service au top, merci."
ECO-0080,2025-10-18,Chat,3,La recherche ne renvoie pas les bons produits. Merci de corriger au plus vite.
ECO-0081,2025-11-28,Web,3,Le transporteur n'est jamais passé !!!.
ECO-0082,2025-11-30,Téléphone,4,Impossible d'obtenir une solution via le chat merci.
ECO-0083,2025-12-23,Chat,1,Le transporteur n'est jamais passé svp.
ECO-0084,2025-11-30,Téléphone,1,Le paiement échoue avec ma carte.
ECO-0085,2025-10-22,Chat,1,Le code promo ne s'applique pas au moment de payer merci.
ECO-0086,2025-12-13,Web,3,Le support ne répond pas à mon ticket.
ECO-0087,2025-12-20,App,4,"Très satisfaite, tout s'est bien passé."
ECO-0088,2025-12-12,App,4,Produits conformes et livraison rapide.
ECO-0089,2025-11-13,Web,3,Bug : impossible de sélectionner un point relais :(. Je voudrais un remboursement.
ECO-0090,2025-11-28,Web,2,Retard de livraison depuis une semaine :(.
ECO-0091,2025-12-08,Web,4,"Je veux un remboursement, le paiement est passé mais la commande a disparu merci."
ECO-0092,2025-11-01,App,1,La recherche ne renvoie pas les bons produits merci.
ECO-0093,2025-12-25,Email,2,Le panier se vide tout seul rapidement.
ECO-0094,2025-11-15,App,2,"Le site est compliqué, trop d'étapes pour commander."
ECO-0095,2025-12-06,Chat,1,Personne ne rappelle malgré ma demande merci.
ECO-0096,2025-10-31,Web,5,"Service au top, merci rapidement."
ECO-0097,2025-11-21,App,2,Je ne trouve pas le bouton pour modifier mon adresse.
ECO-0098,2025-12-07,Téléphone,5,Produits conformes et livraison rapide :(.
ECO-0099,2025-11-02,Chat,1,On me renvoie de service en service rapidement.
ECO-0100,2025-12-28,Chat,2,Le support ne répond pas à mon ticket depuis la mise à jour.
ECO-0101,2025-12-07,Email,5,"Service au top, merci merci."
ECO-0102,2025-11-08,App,2,Double prélèvement sur mon compte svp.
ECO-0103,2025-10-17,Email,4,Ma livraison est en retard depuis la mise à jour. Où est mon colis ?
ECO-0104,2025-11-26,Email,2,J’ai reçu le mauvais colis merci.
ECO-0105,2025-11-21,Téléphone,1,Impossible d'obtenir une solution via le chat.
ECO-0106,2025-11-08,Email,4,"Super expérience, commande reçue rapidement. J'ai essayé de redémarrer et ça ne change rien."
ECO-0107,2025-11-18,App,4,Bug : impossible de sélectionner un point relais svp.
ECO-0108,2025-10-08,Chat,1,Bug : impossible de sélectionner un point relais merci.
ECO-0109,2025-10-21,Téléphone,4,"Très satisfaite, tout s'est bien passé merci."
ECO-0110,2025-12-28,App,4,Colis non reçu alors que marqué livré.
ECO-0111,2025-12-29,Email,4,Colis non reçu alors que marqué livré merci.
ECO-0112,2025-12-20,Chat,3,"Très satisfaite, tout s'est bien passé merci."
ECO-0113,2025-10-20,Email,2,Je ne trouve pas le bouton pour modifier mon adresse depuis la mise à jour.
ECO-0114,2025-12-12,Email,4,Colis non reçu alors que marqué livré merci.
ECO-0115,2025-12-04,Web,3,"Le site est compliqué, trop d'étapes pour commander !!!."
ECO-0116,2025-11-11,Email,2,J’ai reçu le mauvais colis.
ECO-0117,2025-12-26,Téléphone,2,Colis non reçu alors que marqué livré.
ECO-0118,2025-11-26,Téléphone,2,Colis non reçu alors que marqué livré rapidement.
ECO-0119,2025-11-22,Email,2,Je n’arrive pas à appliquer mon bon de réduction.
ECO-0120,2025-11-06,Téléphone,3,Double prélèvement sur mon compte !!!.
ECO-0121,2025-11-11,Téléphone,3,Retard de livraison depuis une semaine.
ECO-0122,2025-10-25,Téléphone,3,J’ai reçu le mauvais colis rapidement.
ECO-0123,2025-10-17,Web,3,Je n’arrive pas à appliquer mon bon de réduction. J'ai essayé de redémarrer et ça ne change rien.
ECO-0124,2025-11-09,Téléphone,1,Ma livraison est en retard svp. Où est mon colis ?
ECO-0125,2025-10-15,Chat,1,Je ne trouve pas le bouton pour modifier mon adresse svp.
ECO-0126,2025-11-23,Web,3,"Le site est compliqué, trop d'étapes pour commander depuis la mise à jour."
ECO-0127,2025-12-16,Email,2,Le code promo ne s'applique pas au moment de payer depuis la mise à jour. C'est vraiment frustrant.
ECO-0128,2025-12-04,App,1,Impossible d'obtenir une solution via le chat :(.
ECO-0129,2025-11-27,App,5,"Interface claire, commande facile rapidement."
ECO-0130,2025-11-11,Chat,2,Personne ne rappelle malgré ma demande depuis la mise à jour.
ECO-0131,2025-11-22,Web,3,Bug : impossible de sélectionner un point relais svp.
ECO-0132,2025-12-23,Email,5,"Service au top, merci !!!."
ECO-0133,2025-11-26,Email,4,"Je veux un remboursement, le paiement est passé mais la commande a disparu :(."
ECO-0134,2025-10-20,App,5,"Très satisfaite, tout s'est bien passé !!!."
ECO-0135,2025-11-12,Téléphone,4,Personne ne rappelle malgré ma demande !!!.
ECO-0136,2025-10-05,Chat,1,"Le site est compliqué, trop d'étapes pour commander rapidement."
ECO-0137,2025-11-25,Email,3,"Interface claire, commande facile svp."
ECO-0138,2025-10-06,App,1,Le panier se vide tout seul merci.
ECO-0139,2025-11-22,Chat,4,On me renvoie de service en service !!!. J'ai essayé de redémarrer et ça ne change rien.
ECO-0140,2025-11-18,Web,2,"Impossible de finaliser la commande, erreur au paiement."
ECO-0141,2025-11-02,Email,2,L’application plante au moment de payer svp.
ECO-0142,2025-11-14,Web,2,"Le site est compliqué, trop d'étapes pour commander depuis la mise à jour. Merci de corriger au plus vite."
ECO-0143,2025-10-26,Email,5,"Interface claire, commande facile rapidement."
ECO-0144,2025-12-29,Web,1,Le code promo ne s'applique pas au moment de payer :(.
ECO-0145,2025-12-03,Chat,2,Le support ne répond pas à mon ticket.
ECO-0146,2025-12-19,Email,2,Le site se bloque sur l'écran de livraison svp.
ECO-0147,2025-10-05,Chat,5,"Super expérience, commande reçue rapidement merci."
ECO-0148,2025-10-23,Téléphone,2,Le transporteur n'est jamais passé :(.
ECO-0149,2025-10-22,App,3,Personne ne rappelle malgré ma demande depuis la mise à jour.
ECO-0150,2025-10-10,Web,4,"Interface claire, commande facile."
ECO-0151,2025-10-02,Web,1,Le site se bloque sur l'écran de livraison.
ECO-0152,2025-11-17,Chat,4,On me renvoie de service en service !!!.
ECO-0153,2025-12-18,Email,4,Je ne trouve pas le bouton pour modifier mon adresse depuis la mise à jour.
ECO-0154,2025-10-15,Email,4,"Service au top, merci merci."
ECO-0155,2025-10-18,App,3,Impossible d'obtenir une solution via le chat. J'ai essayé de redémarrer et ça ne change rien.
ECO-0156,2025-10-20,Email,3,Produits conformes et livraison rapide !!!.
ECO-0157,2025-11-05,App,4,La recherche ne renvoie pas les bons produits !!!.
ECO-0158,2025-11-16,Téléphone,3,Le code promo ne s'applique pas au moment de payer rapidement.
ECO-0159,2025-10-25,Email,5,"Interface claire, commande facile."
ECO-0160,2025-11-01,Chat,5,"Très satisfaite, tout s'est bien passé. Je suis bloqué."
ECO-0161,2025-10-30,Téléphone,2,J’ai reçu le mauvais colis svp.
ECO-0162,2025-12-09,Email,2,Le transporteur n'est jamais passé.
ECO-0163,2025-12-15,Chat,4,"Super expérience, commande reçue rapidement. C'est vraiment frustrant."
ECO-0164,2025-12-07,Email,4,Le support ne répond pas à mon ticket.
ECO-0165,2025-10-14,Chat,3,Je n’arrive pas à appliquer mon bon de réduction :(.
ECO-0166,2025-12-22,Web,1,Erreur 500 quand je valide ma commande depuis la mise à jour.
ECO-0167,2025-11-26,App,1,Je n’arrive pas à appliquer mon bon de réduction.
ECO-0168,2025-12-21,Web,3,L’application plante au moment de payer. J'ai essayé de redémarrer et ça ne change rien.
ECO-0169,2025-12-17,Email,1,Crash de l’app sur la page panier merci.
ECO-0170,2025-10-30,Web,5,Produits conformes et livraison rapide svp.
ECO-0171,2025-11-10,App,2,Je n’arrive pas à appliquer mon bon de réduction.
ECO-0172,2025-10-12,App,1,Le code promo ne s'applique pas au moment de payer. Je perds beaucoup de temps.
ECO-0173,2025-12-11,Email,3,"Je veux un remboursement, le paiement est passé mais la commande a disparu."
ECO-0174,2025-10-07,App,3,"Le site est compliqué, trop d'étapes pour commander !!!."
ECO-0175,2025-12-01,App,1,Le support ne répond pas à mon ticket depuis la mise à jour. Je voudrais un remboursement.
ECO-0176,2025-12-13,Téléphone,3,Le site se bloque sur l'écran de livraison.
ECO-0177,2025-12-28,Chat,1,Crash de l’app sur la page panier depuis la mise à jour. Je voudrais un remboursement.
ECO-0178,2025-10-24,Téléphone,2,On me renvoie de service en service :(.
ECO-0179,2025-10-04,Téléphone,3,"Service au top, merci. Je voudrais un remboursement."
ECO-0180,2025-10-21,App,2,Le code promo ne s'applique pas au moment de payer !!!.
ECO-0181,2025-10-20,Email,1,Crash de l’app sur la page panier.
ECO-0182,2025-11-26,Chat,2,Impossible d'obtenir une solution via le chat !!!.
ECO-0183,2025-11-06,Téléphone,4,Erreur 500 quand je valide ma commande :(.
ECO-0184,2025-12-16,Chat,4,"Interface claire, commande facile."
ECO-0185,2025-11-07,Email,1,J’attends une réponse du service client depuis 3 jours.
ECO-0186,2025-12-30,Téléphone,3,Je n’arrive pas à appliquer mon bon de réduction. J'ai essayé de redémarrer et ça ne change rien.
ECO-0187,2025-10-06,Web,4,"Interface claire, commande facile."
ECO-0188,2025-12-30,App,3,Le transporteur n'est jamais passé !!!.
ECO-0189,2025-10-22,App,4,Retard de livraison depuis une semaine.
ECO-0190,2025-12-15,Web,1,Retard de livraison depuis une semaine.
ECO-0191,2025-10-22,Email,3,On me renvoie de service en service svp.
ECO-0192,2025-11-14,Chat,2,Crash de l’app sur la page panier svp.
ECO-0193,2025-10-20,Chat,1,Colis non reçu alors que marqué livré merci. J'ai essayé de redémarrer et ça ne change rien.
ECO-0194,2025-12-14,Téléphone,3,"Service au top, merci rapidement."
ECO-0195,2025-12-20,Web,4,Produits conformes et livraison rapide :(.
ECO-0196,2025-11-05,App,1,Retard de livraison depuis une semaine rapidement.
ECO-0197,2025-10-05,App,3,Erreur 500 quand je valide ma commande merci.
ECO-0198,2025-12-14,Web,1,Ma livraison est en retard depuis la mise à jour. Où est mon colis ?
ECO-0199,2025-12-04,Web,1,L’application plante au moment de payer :(.
ECO-0200,2025-10-23,Web,2,Le transporteur n'est jamais passé.
ECO-0201,2025-11-16,Web,2,La recherche ne renvoie pas les bons produits depuis la mise à jour.
ECO-0202,2025-12-22,App,1,"Le site est compliqué, trop d'étapes pour commander."
ECO-0203,2025-12-24,App,2,J’ai reçu le mauvais colis !!!.
ECO-0204,2025-11-09,Chat,3,J’ai reçu le mauvais colis.
ECO-0205,2025-12-22,Chat,3,Erreur 500 quand je valide ma commande merci.
ECO-0206,2025-11-24,Email,5,Produits conformes et livraison rapide.
ECO-0207,2025-11-13,Chat,3,On me renvoie de service en service.
ECO-0208,2025-12-04,App,1,"Impossible de finaliser la commande, erreur au paiement. Je perds beaucoup de temps."
ECO-0209,2025-12-28,Web,2,L’application plante au moment de payer !!!. C'est vraiment frustrant.
ECO-0210,2025-10-31,Web,2,Retard de livraison depuis une semaine :(.
ECO-0211,2025-11-30,App,2,"Je veux un remboursement, le paiement est passé mais la commande a disparu svp."
ECO-0212,2025-11-06,Téléphone,5,Produits conformes et livraison rapide rapidement.
ECO-0213,2025-12-17,Email,2,Bug : impossible de sélectionner un point relais.
ECO-0214,2025-10-14,Email,5,"Service au top, merci :(."
ECO-0215,2025-12-05,Email,3,Le support ne répond pas à mon ticket.
ECO-0216,2025-11-23,Téléphone,3,Le code promo ne s'applique pas au moment de payer :(.
ECO-0217,2025-11-17,App,1,J’attends une réponse du service client depuis 3 jours !!!.
ECO-0218,2025-11-30,Web,2,Le transporteur n'est jamais passé. Je suis bloqué.
ECO-0219,2025-10-03,Chat,2,La recherche ne renvoie pas les bons produits.
ECO-0220,2025-11-06,Email,2,Crash de l’app sur la page panier depuis la mise à jour.
ECO-0221,2025-12-19,Email,1,Colis non reçu alors que marqué livré !!!.
ECO-0222,2025-12-13,Chat,4,La recherche ne renvoie pas les bons produits depuis la mise à jour. J'ai essayé de redémarrer et ça ne change rien.
ECO-0223,2025-10-31,Chat,3,Impossible d'obtenir une solution via le chat.
ECO-0224,2025-10-09,Téléphone,5,"Super expérience, commande reçue rapidement depuis la mise à jour."
ECO-0225,2025-11-30,App,3,Crash de l’app sur la page panier.
ECO-0226,2025-11-14,Email,4,Le support ne répond pas à mon ticket :(.
ECO-0227,2025-11-13,Web,2,Le site se bloque sur l'écran de livraison. J'ai essayé de redémarrer et ça ne change rien.
ECO-0228,2025-10-09,Email,5,"Service au top, merci."
ECO-0229,2025-10-06,Téléphone,2,J’attends une réponse du service client depuis 3 jours.
ECO-0230,2025-12-22,App,2,La recherche ne renvoie pas les bons produits rapidement.
ECO-0231,2025-11-25,Web,4,Le transporteur n'est jamais passé merci. Je suis bloqué.
ECO-0232,2025-11-17,App,3,J’attends une réponse du service client depuis 3 jours rapidement.
ECO-0233,2025-10-24,App,2,Retard de livraison depuis une semaine.
ECO-0234,2025-11-09,Chat,3,Ma livraison est en retard :(. Où est mon colis ?
ECO-0235,2025-11-15,App,5,"Service au top, merci :(."
ECO-0236,2025-11-21,Chat,5,"Super expérience, commande reçue rapidement."
ECO-0237,2025-10-31,App,3,Colis non reçu alors que marqué livré rapidement. Je perds beaucoup de temps.
ECO-0238,2025-12-26,App,2,La recherche ne renvoie pas les bons produits.
ECO-0239,2025-11-20,App,4,Je ne trouve pas le bouton pour modifier mon adresse.
ECO-0240,2025-12-03,Téléphone,3,Le paiement échoue avec ma carte.
ECO-0241,2025-10-28,Web,2,Le transporteur n'est jamais passé merci.
ECO-0242,2025-11-27,Email,4,Le paiement échoue avec ma carte.
ECO-0243,2025-12-10,App,5,"Interface claire, commande facile :(."
ECO-0244,2025-10-16,Chat,2,"Impossible de finaliser la commande, erreur au paiement :(."
ECO-0245,2025-11-17,Chat,3,Je ne trouve pas le bouton pour modifier mon adresse :(.
ECO-0246,2025-12-01,Web,3,Erreur 500 quand je valide ma commande.
ECO-0247,2025-12-22,Web,4,Erreur 500 quand je valide ma commande.
ECO-0248,2025-12-21,Chat,4,Produits conformes et livraison rapide :(. J'ai essayé de redémarrer et ça ne change rien.
ECO-0249,2025-12-06,Chat,2,La recherche ne renvoie pas les bons produits.
ECO-0250,2025-12-06,App,1,Double prélèvement sur mon compte svp.
ECO-0251,2025-12-18,Téléphone,1,"Je veux un remboursement, le paiement est passé mais la commande a disparu merci. Je suis bloqué."
ECO-0252,2025-12-17,Email,5,"Très satisfaite, tout s'est bien passé. J'ai essayé de redémarrer et ça ne change rien."
ECO-0253,2025-12-13,Téléphone,2,Ma livraison est en retard. Où est mon colis ?
ECO-0254,2025-12-20,App,2,La recherche ne renvoie pas les bons produits.
ECO-0255,2025-10-10,Chat,1,Le panier se vide tout seul !!!.
ECO-0256,2025-11-13,App,2,Je n’arrive pas à appliquer mon bon de réduction rapidement.
ECO-0257,2025-10-17,Téléphone,5,"Interface claire, commande facile :(."
ECO-0258,2025-10-16,Chat,4,Erreur 500 quand je valide ma commande :(.
ECO-0259,2025-11-19,Chat,3,Le paiement échoue avec ma carte.
ECO-0260,2025-12-03,Web,4,Double prélèvement sur mon compte :(. C'est vraiment frustrant.
ECO-DUP00,2025-10-17,Email,4,Ma livraison est en retard depuis la mise à jour. Où est mon colis ?
ECO-DUP01,2025-12-01,Web,3,Erreur 500 quand je valide ma commande.
ECO-DUP02,2025-12-20,Web,4,Produits conformes et livraison rapide :(.
ECO-DUP03,2025-11-26,Téléphone,2,Colis non reçu alors que marqué livré rapidement.
ECO-DUP04,2025-10-22,Email,3,On me renvoie de service en service svp.
ECO-DUP05,2025-11-06,Email,2,Crash de l’app sur la page panier depuis la mise à jour.
ECO-DUP06,2025-10-17,Email,5,"Service au top, merci."
ECO-DUP07,2025-10-16,Chat,4,Erreur 500 quand je valide ma commande :(.
ECO-DUP08,2025-12-04,App,1,Impossible d'obtenir une solution via le chat :(.
ECO-DUP09,2025-10-08,Chat,1,Bug : impossible de sélectionner un point relais merci.
ECO-DUP10,2025-11-05,Chat,4,Le transporteur n'est jamais passé.
ECO-DUP11,2025-12-03,Web,4,Double prélèvement sur mon compte :(. C'est vraiment frustrant.
